id,A_A4,A_A4a,A_A4dd,A_45414,A_A4au,A_2855659,A_137741,A_2855660,A_1954863,A_3065156,A_A4bf,A_2855661,A_2855658,A_A4h,A_2855664,A_288729,A_71563,A_A4ch,A_2855663,A_51051,A_1954913,A_136551,A_A4ai,A_A4cb,A_A4ax,A_136612,A_A4al,A_2855662,A_30298,A_38115,A_1265953,A_136538,A_A4de,A_3103464,A_3103459,A_136343,A_3103460,A_44468,A_136994,A_136421,A_45427,A_3103462,A_A4ah,A_3103461,A_A4bt,A_53689,A_3103454,A_40204,A_70697,A_A4bz,A_A4av,A_52078,A_50125,A_136724,A_137160,A_1947430,A_286716,A_30200,A_1947428,A_2855745,A_2855755,A_44195,A_59238,A_3103463,A_A4bu,A_30594,A_2855744,A_137301,A_43352,A_136553,A_50815,A_2855754,A_3103455,A_30729,A_40170,A_137175,A_50530,A_A1,A_49844,A_136441,A_3103471,A_136456,A_40189,A_2855746,A_137102,A_A4bv,A_29287,A_49928,A_2855675,A_49924,A_310667,A_136351,A_137619,A_136338,A_A1bn,A_A1ck,A_65009,A_A1fk,A_A1dh,A_49604,A_29990,A_43971,A_A2c,A_44200,A_30209,A_136347,A_38160,A_53368,A_49899,A_30220,A_A4bk,A_29982,A_A4an,A_53588,A_30773,A_29513,A_52081,A_50107,A_49565,A_45257,A_30193,A_29879,A_29292,A_29211,A_136564,A_136437,A_1340433,B_B19,B_B5,B_B19ai,B_B19x,B_B2,B_B19aq,B_B19ap,B_B19ak,B_B19ao,B_B19an,B_899620,B_B19al,B_B5ay,B_B1dx,B_2855726,B_2855727,B_900141,B_43899,B_44077,B_37590,B_2804469,B_37592,B_2162186,B_37609,B_896756,B_2813097,B_1463614,B_44516,B_3103425,B_2855687,B_1913916,B_1468150,B_2855689,B_37601,B_3103428,B_B5e,B_900442,B_3103430,B_B5bp,B_1463679,B_1160926,B_44646,B_50380,B_52806,B_900545,B_3103427,B_363136,B_2855723,B_3103426,B_43359,B_2855245,B_365221,B_901074,B_2856457,B_45059,B_892043,B_44193,B_2855688,B_365224,B_37890,B_3103432,B_2157937,B_3103431,B_50102,B_3103446,B_3103445,B_3103434,B_37629,B_3103435,B_52803,B_3103433,B_38226,B_3103436,B_3103440,B_3103424,B_37899,B_51397,B_3103438,B_1466920,B_49993,B_B18e,B_3103437,B_37618,B_3103439,B_3103449,B_900210,B_51712,B_900144,B_3103429,B_B2r,B_B1,B_3103441,B_3103448,B_3103442,B_2903115,B_3103469,B_3103453,B_44170,B_B2f,B_43411,B_71368,B_43390,B_43368,B_B2n,B_3103447,B_1157424,B_43960,B_3103470,B_B2q,B_37897,B_2903117,B_3103466,B_2157903,B_3103444,B_2855729,B_B19y,B_3103467,B_3103458,B_3103450,B_B2d,B_896145,B_1463667,B_1157325,B_3103468,B_3103451,B_3103452,B_2902467,B_892173,B_2804481,B_1157420,B_B1cg,B_2902466,B_900269,B_45557,C_C46,C_C3,C_C1,C_C47a,C_C42.2,C_C42ef,C_C42eg,C_C1c,C_C3lp,C_C44,C_44726,C_C47,C_C3ed,C_C3n,C_C45l,C_C42eh,C_C46e,C_C1b,C_C47c,C_C47b,C_C1ge,C_44732,C_C42ej,C_C45a,C_C3lh,C_C6a,C_C42dp,C_C72k,C_1337729,C_2855657,C_2855679,C_C1al,C_49036,C_2855652,C_C42df,C_40128,C_2855708,C_C3ju,C_2855709,C_2855686,C_2855676,C_2152961,C_892135,C_2855667,C_2151502,C_2855707,C_2855699,C_895374,C_C1w,C_C16a,C_C50f,C_2856235,C_2855710,C_C1jx,C_2855747,C_2855706,C_1364,C_2855715,C_44728,C_C42ay,C_2855668,C_892788,C_2855711,C_C42au,C_2855705,C_2855712,C_2855722,C_C3ew,C_C1cu,C_2855681,C_72278,C_28866,C_11068,C_40126,C_C3sa,C_2855749,C_2855700,C_2855701,C_40125,C_C1bc,C_2152808,C_40133,C_1638089,C_892053,C_2855682,C_C3t,C_2151512,C_C1gn,C_43102,C_C7t,C_90856,C_C1br,C_44748,C_2855703,C_11056,C_2855702,C_2855683,C_2855694,C_895368,C_2855669,C_2855730,C_C1bh,C_2855731,C_2855680,C_C1cv,C_2855677,C_2855732,C_C3av,C_9770,C_C1gj,C_1346,C_1486562,C_895426,C_894019,C_2855718,C_C1ao,C_281,C_C3de,C_2151443,C_C3cm,C_C1hq,C_2855673,C_23580,C_2855728,C_2855670,C_C3ad,C_40132,C_44734,C_2855704,C_1265489,C_2151433,C_893975,C_2856041,C_44727,C_892841,C_C1l,C_2151531,C_90696,C_895383,C_21507,C_2856056,C_C1an,C_2855866,C_1355,C_2855922,C_894968,C_2855789,C_C1am,C_1671139,C_C3af,C_2855736,C_C1cb,C_70789,C_C3fw,C_48053,C_2856103,C_2856123,C_C3xo,C_26573,C_2855717,C_3065171,C_49179,C_892898,C_2663,C_3103443,C_C1lx,C_2856134,C_44098,C_3103465,C_2856329,C_C3cl,C_C1j,C_2553,C_5429,C_21042,C_C3dg,C_3065878,C_3103423,C_3103456,C_2555,C_53263,C_22278,C_3065879,C_C3cy,C_C1h,C_50761,C_2152932,C_71445,C_44105,C_21064,C_2151486,C_C3mo,C_C3hq,C_44102,C_2847132,C_3103457,C_746972,C_C1e,C_21059,C_21508,C_1464544,C_44094,C_2847130,C_1464061,C_816,C_3065886,C_2151438,C_17703,C_C1bp,C_C91,D_D1,D_D4,D_D4c,D_D1c,D_D1k,D_D2,D_D1ih,D_D1h,D_D1ck,D_D1n,D_22383,D_D5,D_D1fy,D_D1r,D_D17c,D_D17d,D_D1iu,D_D4bc,D_D4i,D_D17e,D_13759,D_4932,D_D1ip,D_D4av,D_D6,D_D17k,D_D5m,D_D17j,D_104741,D_D17,D_D4f,D_D4j,D_524521,D_62538,D_D17l,D_D10e,D_22593,D_3296,D_15547,D_14233,D_D1bp,D_D1ad,D_45946,D_D1ay,D_61998,D_43420,D_2856413,D_104711,D_72974,D_19419,D_D17q,D_D4ax,D_19423,D_10759,G_G3b,G_G3ay,G_G3al
M10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35069,0,0,0,3176,0,0,0,0,0,950,0,0,0,0,0,727,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,471,0,0,0,1080,0,0,421,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,271,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,20,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,32,14,5,0,0,0,7,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32266,0,0,0,2673,0,0,0,0,0,932,0,0,0,0,0,831,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,381,0,0,0,980,0,0,411,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,219,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,81,32,0,0,0,54,0,18,0,0,0,0,0,0,0,32,44,0,0,0,0,0,0,0,0,0,0,4,16,0,5,0,0,0,0,0,0,9,0,0,0,0,0,8,9,0,0,0,0,9,0,9,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13586,0,0,0,549,0,0,0,0,0,415,0,0,0,0,0,166,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,209,76,195,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,35,13,0,0,0,14,0,10,9,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27318,0,0,0,2081,0,0,0,0,0,833,0,0,0,0,0,628,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,363,0,0,0,872,0,0,312,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,194,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1897,18,0,0,0,0,0,0,0,0,0,128,106,0,0,0,0,0,64,0,61,0,51,0,0,54,38,0,0,0,0,0,15,0,23,0,0,14,0,0,12,19,0,0,0,0,25,0,22,29,0,0,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,21,0,0,0,0,24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,13,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24667,0,0,0,3467,0,0,0,0,0,720,0,0,0,0,0,1099,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,264,0,0,0,228,0,0,0,0,0,0,0,0,175,0,161,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14045,0,0,0,0,0,0,0,0,0,0,1142,977,0,0,0,0,0,382,0,389,0,433,0,0,258,248,0,0,0,0,0,214,0,124,0,0,126,0,118,112,136,0,0,0,0,83,0,84,0,0,0,0,105,0,84,0,0,0,0,0,0,95,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58514,0,0,0,2317,0,0,0,0,0,1772,0,0,0,0,0,548,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,379,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E8,33388,0,954,987,217,656,696,860,322,0,0,525,265,0,330,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3,13640,0,351,356,120,284,220,92,181,0,0,167,121,0,99,0,0,0,194,0,65,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3,7953,0,192,216,44,188,187,218,68,0,0,152,52,0,70,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4,39273,0,1828,1112,438,844,622,879,715,0,0,580,540,0,438,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
